id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_15711,"Appointment","Appointment",https://www.haringeyestates.com/wp-content/plugins/facebook-for-woocommerce/assets/images/woocommerce-placeholder.png,https://www.haringeyestates.com/product/appointment/,"Uncategorised","www.haringeyestates.com",1GBP,in stock,wc_post_id_15711,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1GBP,new,published,,,,,5863,,
wc_post_id_15591,"Booking","Booking",https://www.haringeyestates.com/wp-content/plugins/facebook-for-woocommerce/assets/images/woocommerce-placeholder.png,https://www.haringeyestates.com/product/booking/,"Uncategorised","www.haringeyestates.com",1GBP,in stock,wc_post_id_15591,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1GBP,new,published,,,,,5863,,
wc_post_id_14564,"EPC Certificate","epc cert",https://www.haringeyestates.com/wp-content/plugins/facebook-for-woocommerce/assets/images/woocommerce-placeholder.png,https://www.haringeyestates.com/product/epc-certificate/,"Landlord Shop","www.haringeyestates.com",65GBP,in stock,wc_post_id_14564,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65GBP,new,staging,,,,,5863,,
wc_post_id_617,"Tenant find Service","tenant find service 
  marketing on all avaialble platforms 
  arrange viewing appointments 
  carryout basic checks on applicants 
  prepare contract and arrange payments to be made to landlord account 
  advice on deposit protection",https://www.haringeyestates.com/wp-content/uploads/2019/03/tenant-find-service.jpg,https://www.haringeyestates.com/product/tenant-find-service/,"Landlord Shop","www.haringeyestates.com",200GBP,in stock,wc_post_id_617,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,100GBP,new,staging,,,,,5863,,
wc_post_id_570,"Cleaning Service","Cleaning Service @ £12 per hour special offer 
 
High-quality cleaning service",https://www.haringeyestates.com/wp-content/uploads/2019/02/Why-Hire-a-Cleaning-Service-During-Your-Spouse’s-Deployment-1024x639-1.jpg,https://www.haringeyestates.com/product/cleaning-service/,"Landlord Shop","www.haringeyestates.com",15GBP,in stock,wc_post_id_570,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,12GBP,new,published,,,,,5863,,
wc_post_id_568,"Eletrical Safety Certificate","Eletrical Safety Certificate",https://www.haringeyestates.com/wp-content/uploads/2019/02/landlords-certificate.jpg,https://www.haringeyestates.com/product/eletrical-safety-certificate/,"Landlord Shop","www.haringeyestates.com",150GBP,in stock,wc_post_id_568,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,120GBP,new,staging,,,,,5863,,
wc_post_id_566,"Gas Safe Certificate","Gas Safe Certificate 
 
Valid for 1 year",https://www.haringeyestates.com/wp-content/uploads/2019/02/gas-safe.jpg,https://www.haringeyestates.com/product/gas-safe-certificate/,"Landlord Shop","www.haringeyestates.com",75GBP,in stock,wc_post_id_566,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,60GBP,new,staging,,,,,5863,,
wc_post_id_10667,"Removal Services","Residential Removal Service: 4 hours",https://www.haringeyestates.com/wp-content/uploads/2020/01/removal-service.jpg,https://www.haringeyestates.com/product/removal-services/?attribute_residential-removal-service=4+hours,"Landlord Shop, Tenant Shop","www.haringeyestates.com",130GBP,in stock,wc_post_id_10664,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,120GBP,new,staging,,,,,5863,,"residential-removal-service:2 hours/3 hours/4 hours:4 hours"
wc_post_id_10666,"Removal Services","Residential Removal Service: 3 hours",https://www.haringeyestates.com/wp-content/uploads/2020/01/removal-service.jpg,https://www.haringeyestates.com/product/removal-services/?attribute_residential-removal-service=3+hours,"Landlord Shop, Tenant Shop","www.haringeyestates.com",100GBP,in stock,wc_post_id_10664,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,90GBP,new,staging,,,,,5863,,"residential-removal-service:2 hours/3 hours/4 hours:3 hours"
wc_post_id_10665,"Removal Services","Residential Removal Service: 2 hours",https://www.haringeyestates.com/wp-content/uploads/2020/01/removal-service.jpg,https://www.haringeyestates.com/product/removal-services/?attribute_residential-removal-service=2+hours,"Landlord Shop, Tenant Shop","www.haringeyestates.com",70GBP,in stock,wc_post_id_10664,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,60GBP,new,staging,,,,,5863,,"residential-removal-service:2 hours/3 hours/4 hours:2 hours"
wc_post_id_5604,"Property Inventory","Service type: Check out, Furnishing: Unfurnished, Property size: 5 bed flat / house",https://www.haringeyestates.com/wp-content/uploads/2019/02/propertyinventory.gif,https://www.haringeyestates.com/product/property-inventory/?attribute_service-type=Check+out&attribute_furnishing=Unfurnished&attribute_property-size=5+bed+flat+%2F+house,"Landlord Shop","www.haringeyestates.com",0GBP,in stock,wc_post_id_569,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0GBP,new,published,,,,,5863,,"service-type:Inventory/Inventory and Check in/Check out:Check out,furnishing:Furnished/Unfurnished:Unfurnished"
